w,newst_ts
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,10288.524
50,1332.049
51,1324.423
52,1279.297
53,1284.535
54,1300.198
55,1327.037
56,1346.144
57,1314.687
58,1038.183
59,956.617
60,915.984
61,5912.199
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,322.185
75,691.112
76,9086.416
77,9282.798
78,9275.18
79,9484.786
80,9488.24
81,1260.36
82,
83,
84,
85,
86,
87,
88,
89,
90,426.772
91,550.236
92,687.08
93,177.491
94,177.297
95,176.741
96,209.732
97,186.522
98,102.999
99,189.022
100,177.98
101,97.34
102,181.814
103,178.746
104,97.08
105,175.925
106,177.589
107,217.003
108,154.815
109,157.533
110,158.284
111,150.867
112,1100.858
113,653.221
114,1247.176
115,499.145
116,1154.13
117,678.027
118,1085.741
119,40.859
120,79.604
121,45.87
122,41.585
123,78.883
124,56.159
125,201.789
126,318.855
127,236.017
128,238.226
129,209.224
130,16.839
131,48.552
132,19.038
133,29.699
134,26.852
135,33.462
136,118.935
137,80.923
138,88.073
139,26.06
140,70.928
141,38.562
142,28.807
143,25.21
144,74.827
145,38.587
146,28.907
147,28.633
148,21.849
149,23.193
150,22.911
151,24.861
152,49.465
153,47.148
154,28.555
155,29.375
156,29.002
157,20.473
158,17.99
159,19.445
160,20.277
161,20.28
162,22.842
163,23.163
164,23.79
165,23.679
166,23.497
167,23.457
168,23.478
169,23.622
170,23.708
171,23.864
172,23.928
173,24.177
174,29.121
175,17.83
176,20.648
177,19.473
178,19.789
179,19.326
180,19.247
181,20.28
182,19.419
183,20.685
184,20.979
185,18.528
186,19.652
187,21.16
188,20.804
189,19.146
190,19.843
191,19.226
192,7.782
